"lastword","KNP","lambda"
"118","any",0.0008202812508883,0.48326359832636
"80","go",0.00079185566298623,0.242424242424242
"140","these",0.000787794864714506,0.477443609022556
"109","work",0.000771551671627609,0.251908396946565
"130","home",0.000767490873355884,0.327906976744186
"121","being",0.000759369276812436,0.436046511627907
"182","says",0.000747186881997263,0.385791366906475
"132","rt",0.000730943688910366,0.427816901408451
"162","ive",0.000730943688910366,0.218844984802432
"244","during",0.000726882890638642,0.190191387559809
"102","really",0.000718761294095193,0.38353765323993
"152","u",0.000718761294095193,0.41875
"129","those",0.000714700495823469,0.431034482758621
"144","things",0.000710639697551745,0.239769820971867
"143","should",0.00070657889928002,0.254464285714286
"171","every",0.00070657889928002,0.376229508196721
"178","again",0.000702518101008296,0.335664335664336
"246","without",0.000698457302736572,0.416267942583732
"116","did",0.000694396504464848,0.212732919254658
"141","made",0.000694396504464848,0.217254408060453
"108","still",0.000690335706193123,0.438330170777989
"159","may",0.000686274907921399,0.293002915451895
"211","tonight",0.000682214109649675,0.301867219917012
"242","against",0.000682214109649675,0.4
"92","make",0.000678153311377951,0.196172248803828
"136","most",0.000670031714834502,0.419277108433735
"147","why",0.000670031714834502,0.22987012987013
"181","ill",0.000649727723475881,0.31294964028777
"90","great",0.000645666925204157,0.422386895475819
"196","though",0.000645666925204157,0.299407114624506
"97","going",0.000641606126932432,0.09625
"156","state",0.000633484530388984,0.416899441340782
"227","until",0.000633484530388984,0.326233183856502
"161","game",0.00062942373211726,0.353603603603604
"125","many",0.000625362933845535,0.42146017699115
"138","next",0.000625362933845535,0.28544776119403
"155","something",0.000625362933845535,0.282821229050279
"214","such",0.000621302135573811,0.219665271966527
"232","between",0.000621302135573811,0.404651162790698
"85","first",0.000609119740758638,0.403323262839879
"163","man",0.000609119740758638,0.353343465045593
"111","got",0.000596937345943466,0.287907869481766
"174","show",0.000576633354584844,0.318561872909699
"198","each",0.000576633354584844,0.345
"160","another",0.00057257255631312,0.558558558558559
"135","life",0.000564450959769671,0.301807228915663
"158","better",0.000564450959769671,0.356413994169096
"137","never",0.000556329363226223,0.387867647058824
"84","see",0.000552268564954499,0.209145427286357
"149","come",0.000552268564954499,0.187994722955145
"124","very",0.000548207766682775,0.383986928104575
"225","hes",0.000548207766682775,0.383333333333333
"106","way",0.00054414696841105,0.195355191256831
"212","away",0.00054414696841105,0.260460251046025
"231","yet",0.00054414696841105,0.388888888888889
"98","other",0.000540086170139326,0.502926421404682
"120","thanks",0.000540086170139326,0.175263157894737
"173","look",0.000540086170139326,0.23841059602649
"310","under",0.000540086170139326,0.354294478527607
"350","including",0.000536025371867602,0.491379310344828
"154","big",0.000527903775324153,0.536312849162011
"113","years",0.000519782178780705,0.22705078125
"194","ever",0.000519782178780705,0.40748031496063
"101","much",0.000511660582237256,0.270942408376963
"243","came",0.000511660582237256,0.2
"208","does",0.000507599783965532,0.296296296296296
"218","both",0.000503538985693808,0.525974025974026
"220","doesnt",0.000499478187422083,0.383187772925764
"245","making",0.000491356590878635,0.348086124401914
"134","say",0.000487295792606911,0.269138755980861
"251","st",0.000487295792606911,0.409756097560976
"280","called",0.000483234994335186,0.478021978021978
"153","school",0.000479174196063462,0.382311977715877
"240","high",0.000479174196063462,0.419431279620853
"267","someone",0.000479174196063462,0.402061855670103
"286","id",0.000479174196063462,0.383426966292135
"128","need",0.000475113397791738,0.167241379310345
"131","cant",0.000475113397791738,0.229020979020979
"217","told",0.000475113397791738,0.265086206896552
"340","along",0.000475113397791738,0.217905405405405
"175","hope",0.000471052599520014,0.1875
"216","team",0.000471052599520014,0.394396551724138
"275","food",0.000471052599520014,0.412698412698413
"139","take",0.000466991801248289,0.235074626865672
"377","instead",0.000466991801248289,0.226102941176471
"185","city",0.000462931002976565,0.422382671480144
"187","house",0.000462931002976565,0.411818181818182
"205","family",0.000462931002976565,0.426829268292683
"348","tomorrow",0.000462931002976565,0.326530612244898
"165","youre",0.000458870204704841,0.365740740740741
"247","left",0.000458870204704841,0.349759615384615
"252","please",0.000458870204704841,0.290441176470588
"270","once",0.000458870204704841,0.345854922279793
"207","used",0.000454809406433117,0.264344262295082
"189","let",0.000450748608161392,0.181318681318681
"133","little",0.000446687809889668,0.511282660332542
"183","three",0.000442627011617944,0.464028776978417
"197","went",0.000442627011617944,0.189723320158103
